Number,City,Gender,Age,Income,Illness
199,0,1,58,19643.0,0
200,0,1,37,37872.0,0
201,0,0,56,47949.0,0
202,0,0,35,32404.0,0
203,0,0,36,70577.0,0
204,0,0,58,44891.0,0
205,0,0,40,42737.0,0
206,0,0,55,53217.0,0
207,0,0,39,53433.0,0
208,0,1,40,16459.0,0
209,0,1,27,40469.0,0
210,0,0,26,53774.0,0
211,0,0,38,34836.0,0
212,0,0,34,41093.0,0
213,0,1,47,47306.0,0
214,0,1,44,36304.0,0
215,0,1,40,32430.0,0
216,0,1,33,28020.0,0
217,0,1,41,35209.0,0
218,0,0,42,58206.0,0
219,0,1,43,41762.0,0
220,0,1,55,44410.0,0
221,0,1,51,38805.0,0
222,0,1,30,34105.0,0
223,0,0,45,59978.0,0
224,0,1,47,40115.0,0
225,0,1,61,42710.0,0
226,0,0,33,65152.0,0
227,0,1,39,57208.0,0
228,0,0,53,49686.0,0
229,0,0,57,54993.0,0
230,0,0,61,65721.0,0
231,0,1,53,26033.0,0
232,0,0,27,65178.0,0
233,0,0,26,51428.0,0
234,0,0,40,57497.0,0
235,0,0,56,42534.0,0
236,0,0,42,55519.0,0
237,0,1,29,31924.0,0
238,0,1,54,48411.0,0
239,0,0,32,51888.0,0
240,0,1,33,51848.0,0
241,0,0,49,23579.0,0
242,0,0,35,61320.0,0
243,0,0,49,40468.0,0
244,0,0,34,52297.0,0
245,0,1,61,32631.0,0
246,0,1,40,-654.0,1
247,0,1,52,38721.0,1
248,0,1,35,40200.0,0
249,0,0,45,66643.0,0
250,0,0,44,47535.0,0
251,0,0,44,37370.0,0
252,0,0,56,51077.0,0
253,0,0,56,58303.0,0
254,0,1,64,39930.0,0
255,0,0,41,61051.0,0
256,0,1,54,37022.0,0
257,0,0,56,59154.0,0
258,0,1,46,39067.0,0
259,0,0,54,51490.0,0
260,0,0,38,53849.0,1
261,0,0,28,44893.0,0
262,0,1,44,39326.0,0
263,0,0,28,59432.0,0
264,0,1,61,50101.0,0
265,0,0,44,41998.0,0
266,0,0,62,56361.0,0
267,0,0,50,41538.0,0
268,0,0,31,56304.0,0
269,0,0,59,45585.0,0
270,0,0,26,64317.0,0
271,0,0,47,43823.0,0
272,0,1,60,40457.0,0
273,0,1,53,33804.0,0
274,0,0,63,51462.0,1
275,0,0,55,48523.0,0
276,0,0,63,43072.0,0
277,0,0,43,46076.0,0
278,0,0,31,56275.0,0
279,0,1,61,42897.0,0
280,0,1,65,41464.0,0
281,0,0,34,47169.0,0
282,0,0,38,36525.0,0
283,0,1,62,34516.0,0
284,0,0,31,49337.0,0
285,0,0,60,44809.0,0
286,0,0,58,59434.0,0
287,0,1,30,37518.0,0
288,0,1,46,32425.0,1
289,0,0,41,45878.0,0
290,0,1,28,49646.0,0
291,0,1,38,51251.0,0
292,0,0,40,46114.0,0
293,0,1,44,54472.0,0
294,0,0,54,42648.0,1
295,0,1,60,37641.0,0
296,0,0,30,46098.0,0
297,0,0,26,42558.0,0
298,0,0,39,47005.0,0
299,0,0,41,51131.0,0
300,0,0,57,59207.0,1
301,0,0,36,64976.0,0
302,0,0,56,51483.0,0
303,0,0,34,45927.0,0
304,0,0,32,67322.0,0
305,0,0,57,37703.0,0
306,0,1,62,64697.0,0
307,0,0,61,44898.0,0
308,0,1,37,34153.0,0
309,0,0,36,57350.0,0
310,0,0,50,46617.0,0
311,0,0,46,34390.0,0
312,0,1,34,34927.0,0
313,0,0,63,59254.0,0
314,0,1,44,49785.0,0
315,0,0,44,55387.0,0
316,0,0,26,54192.0,1
317,0,0,50,56941.0,0
318,0,1,65,22225.0,0
319,0,1,39,33083.0,0
320,0,0,37,59340.0,0
321,0,0,48,38920.0,0
322,0,1,40,25830.0,0
323,0,0,25,56736.0,0
324,0,0,28,30162.0,0
325,0,0,38,56717.0,0
326,0,1,44,38410.0,0
327,0,0,54,44959.0,0
328,0,1,47,28613.0,0
329,0,1,42,36723.0,0
330,0,1,62,29099.0,1
331,0,0,50,44166.0,0
332,0,1,61,41837.0,0
333,0,0,29,57912.0,0
334,0,0,63,55613.0,0
335,0,0,51,60860.0,0
336,0,0,28,67086.0,0
337,0,0,45,42938.0,0
338,0,0,44,45514.0,1
339,0,0,36,40552.0,0
340,0,1,29,33230.0,0
341,0,0,49,59647.0,0
342,0,0,44,68651.0,0
343,0,0,37,48323.0,0
344,0,0,42,42899.0,0
345,0,0,30,49882.0,0
346,0,0,47,71176.0,0
347,0,1,36,36397.0,1
348,0,1,33,53269.0,0
349,0,1,55,37407.0,0
350,0,0,39,42427.0,0
351,0,0,61,31618.0,0
352,0,1,51,31580.0,0
353,0,1,35,11926.0,0
354,0,1,49,35509.0,0
355,0,0,43,58988.0,1
356,0,0,37,32973.0,0
357,0,1,34,27915.0,0
358,0,0,51,55640.0,0
359,0,1,48,36317.0,0
360,0,1,27,53163.0,0
361,0,0,62,28695.0,0
362,0,1,33,23952.0,0
363,0,1,33,31781.0,0
364,0,0,50,43563.0,0
365,0,1,32,31671.0,0
366,0,1,49,42065.0,0
367,0,1,59,27436.0,0
368,0,1,52,46311.0,0
369,0,1,43,45458.0,0
370,0,1,44,47435.0,0
371,0,0,44,46572.0,0
372,0,1,25,46955.0,0
373,0,1,36,41171.0,0
374,0,1,36,51153.0,0
375,0,0,60,56650.0,0
376,0,0,61,44592.0,0
377,0,1,43,38154.0,0
378,0,0,47,58870.0,0
379,0,1,63,52706.0,0
380,0,0,54,45465.0,1
381,0,1,48,41742.0,0
382,0,0,36,34889.0,0
383,0,1,61,50266.0,0
384,0,1,30,51144.0,0
385,0,0,45,70565.0,0
386,0,0,57,34817.0,0
387,0,0,61,50642.0,0
388,0,1,56,11535.0,0
389,0,0,42,65963.0,0
390,0,0,37,53465.0,0
391,0,1,48,33766.0,0
392,0,1,38,47770.0,0
393,0,1,54,34871.0,0
394,0,1,54,45362.0,0
395,0,0,36,52638.0,0
396,0,1,36,20029.0,0
397,0,0,34,42854.0,0
398,0,0,62,49958.0,1
399,0,0,50,26085.0,0
400,0,0,38,43929.0,0
401,0,0,42,39999.0,0
402,0,0,43,51904.0,0
403,0,1,35,26635.0,0
404,0,0,42,53418.0,1
405,0,0,65,54304.0,0
406,0,0,39,62155.0,0
407,0,1,65,6733.0,0
408,0,1,47,26653.0,0
409,0,0,27,54812.0,0
410,0,1,43,42320.0,0
411,0,0,56,62832.0,0
412,0,0,62,60311.0,0
413,0,1,60,38837.0,0
414,0,1,53,42258.0,0
415,0,0,35,55379.0,0
416,0,0,29,54090.0,0
417,0,0,51,56877.0,0
418,0,0,42,40294.0,0
419,0,0,31,36154.0,0
420,0,1,59,43318.0,0
421,0,0,46,47998.0,0
422,0,0,42,34580.0,0
423,0,1,56,50977.0,0
424,0,1,28,58021.0,0
425,0,0,33,34316.0,0
426,0,1,59,38877.0,0
427,0,1,40,43548.0,0
428,0,1,56,42285.0,0
429,0,0,52,52834.0,0
430,0,1,36,47566.0,0
431,0,0,51,44138.0,0
432,0,0,55,49735.0,0
433,0,1,48,39159.0,0
434,0,1,54,54271.0,0
435,0,1,58,42891.0,0
436,0,1,61,45376.0,0
437,0,1,64,51749.0,0
438,0,0,31,30898.0,0
439,0,0,28,45472.0,0
440,0,0,59,54936.0,0
441,0,1,27,43601.0,1
442,0,1,64,38107.0,0
443,0,0,25,51221.0,0
444,0,0,49,50653.0,1
445,0,1,60,59483.0,0
446,0,0,30,41928.0,0
447,0,0,41,52087.0,0
448,0,0,47,42597.0,0
449,0,1,46,41864.0,0
450,0,0,43,41867.0,1
451,0,0,56,51520.0,0
452,0,0,64,56658.0,0
453,0,1,26,41854.0,0
454,0,1,30,43934.0,0
455,0,1,38,41575.0,0
456,0,0,42,32310.0,0
457,0,0,42,61088.0,0
458,0,0,30,43811.0,0
459,0,0,50,64300.0,0
460,0,1,36,33546.0,0
461,0,0,64,55192.0,1
462,0,1,40,41087.0,0
463,0,0,62,39947.0,0
464,0,0,41,48400.0,0
465,0,0,41,39335.0,0
466,0,0,53,58013.0,0
467,0,0,38,60514.0,0
468,0,1,45,46662.0,0
469,0,0,28,49682.0,1
470,0,0,65,52691.0,0
471,0,1,58,27137.0,1
472,0,0,59,53759.0,0
473,0,0,41,64692.0,1
474,0,1,39,66612.0,0
475,0,1,38,51273.0,0
476,0,0,62,48206.0,1
477,0,0,37,37940.0,0
478,0,1,30,64033.0,0
479,0,0,39,52353.0,0
480,0,0,29,53607.0,0
481,0,1,57,55947.0,0
482,0,0,41,56665.0,0
483,0,1,29,51383.0,0
484,0,1,48,57622.0,0
485,0,0,58,42291.0,0
486,0,1,30,30199.0,0
487,0,0,57,54733.0,0
488,0,1,27,40026.0,1
489,0,0,49,49247.0,0
490,0,0,60,52773.0,0
491,0,0,52,48091.0,0
492,0,1,35,48737.0,0
493,0,1,32,29352.0,0
494,0,0,33,31758.0,0
495,0,0,29,55608.0,0
496,0,0,44,51679.0,0
497,0,0,44,42288.0,0
498,0,0,58,55464.0,0
499,0,0,38,57047.0,0
500,0,1,59,30366.0,0
501,0,0,50,51169.0,0
502,0,0,39,46001.0,0
503,0,1,33,34911.0,0
504,0,0,51,47034.0,0
505,0,1,55,54490.0,0
506,0,1,29,52473.0,0
507,0,1,54,38422.0,0
508,0,1,29,29802.0,0
509,0,0,44,60139.0,0
510,0,1,36,29667.0,0
511,0,1,55,47175.0,0
512,0,1,65,35905.0,0
513,0,1,59,43834.0,1
514,0,0,41,58810.0,0
515,0,1,42,41293.0,0
516,0,0,40,41839.0,0
517,0,0,44,30793.0,0
518,0,0,38,54458.0,0
519,0,0,49,49072.0,0
520,0,0,57,54934.0,0
521,0,0,35,41343.0,1
522,0,0,38,53541.0,0
523,0,0,26,48037.0,0
524,0,0,41,41605.0,0
525,0,0,60,45227.0,0
526,0,1,34,42464.0,0
527,0,0,62,63050.0,0
528,0,0,63,42432.0,0
529,0,0,61,59681.0,0
530,0,1,45,49479.0,1
531,0,0,38,62406.0,0
532,0,0,63,44482.0,0
533,0,1,38,26356.0,0
534,0,1,39,40111.0,0
535,0,0,56,28423.0,0
536,0,1,27,46029.0,0
537,0,1,51,43165.0,0
538,0,1,33,35044.0,0
539,0,0,28,43578.0,0
540,0,0,54,44490.0,0
541,0,0,54,53673.0,0
542,0,0,30,40663.0,0
543,0,0,29,48660.0,0
544,0,1,27,48563.0,0
545,0,0,32,61141.0,0
546,0,0,43,53874.0,0
547,0,1,37,51319.0,0
548,0,0,53,60439.0,0
549,0,0,34,71444.0,1
550,0,0,52,35988.0,0
551,0,0,26,42681.0,0
552,0,0,48,47954.0,0
553,0,0,30,53567.0,0
554,0,1,41,47544.0,0
555,0,0,52,37783.0,0
556,0,1,54,42445.0,0
557,0,1,51,26948.0,1
558,0,1,57,39201.0,0
559,0,1,59,41835.0,0
560,0,1,64,29372.0,0
561,0,1,28,46954.0,0
562,0,0,63,60188.0,0
563,0,0,28,49720.0,1
564,0,1,61,47136.0,0
565,0,0,59,34991.0,0
566,0,1,44,41485.0,0
567,0,1,41,44699.0,0
568,0,1,47,61749.0,0
569,0,0,58,49861.0,0
570,0,1,31,51080.0,0
571,0,0,28,58489.0,0
572,0,0,39,39856.0,0
573,0,0,36,40933.0,0
574,0,1,50,40577.0,0
575,0,1,38,38757.0,0
576,0,0,59,45007.0,0
577,0,0,49,44953.0,0
578,0,0,39,50794.0,0
579,0,1,31,42573.0,0
580,0,0,31,45431.0,1
581,0,1,35,26015.0,0
582,0,0,34,34455.0,0
583,0,1,63,47515.0,0
584,0,0,51,54691.0,0
585,0,0,63,43529.0,0
586,0,0,60,28389.0,0
587,0,0,60,54539.0,0
588,0,1,48,43487.0,0
589,0,0,46,64963.0,0
590,0,1,32,40353.0,0
591,0,1,49,45418.0,0
592,0,1,60,20841.0,0
593,0,0,62,37290.0,0
594,0,0,29,31931.0,0
595,0,1,57,36561.0,0
596,0,1,40,34635.0,0
597,0,0,55,38802.0,0
598,0,0,44,55015.0,0
599,0,0,37,52912.0,0
600,0,1,56,45366.0,0
601,0,0,33,65415.0,0
602,0,1,36,43192.0,0
603,0,0,53,64756.0,0
604,0,1,57,23256.0,0
605,0,0,30,38423.0,0
606,0,0,34,65255.0,0
607,0,0,42,27766.0,0
608,0,1,57,37490.0,1
609,0,0,49,33521.0,0
610,0,1,43,59030.0,1
611,0,0,27,44095.0,1
612,0,1,33,17621.0,0
613,0,0,50,56806.0,0
614,0,0,61,36315.0,1
615,0,0,49,40709.0,0
616,0,1,27,32661.0,1
617,0,0,34,55377.0,0
618,0,1,47,54937.0,0
619,0,0,56,51930.0,0
620,0,0,33,47158.0,0
621,0,1,43,27012.0,0
622,0,0,35,62429.0,0
623,0,1,48,33033.0,1
624,0,0,51,67959.0,0
625,0,0,56,44904.0,0
626,0,0,25,55047.0,0
627,0,0,31,53915.0,0
628,0,0,57,25278.0,0
629,0,1,52,13117.0,0
630,0,0,60,55998.0,0
631,0,1,39,56619.0,0
632,0,1,45,24670.0,0
633,0,0,60,40443.0,0
634,0,1,33,18417.0,1
635,0,1,26,46760.0,0
636,0,0,27,57092.0,0
637,0,1,36,48604.0,0
638,0,1,31,57326.0,0
639,0,1,29,32876.0,0
640,0,0,41,64982.0,0
641,0,1,58,41537.0,0
642,0,0,61,64590.0,0
643,0,0,25,46542.0,0
644,0,1,44,47283.0,0
645,0,1,41,50469.0,0
646,0,1,33,25063.0,0
647,0,0,33,56704.0,0
648,0,1,34,28171.0,0
649,0,0,34,51531.0,0
650,0,1,42,38854.0,0
651,0,0,31,28405.0,0
652,0,1,30,38758.0,0
653,0,1,26,39756.0,0
654,0,0,49,48151.0,1
655,0,0,60,46927.0,0
656,0,0,29,67747.0,0
657,0,1,37,42772.0,0
658,0,1,53,33410.0,0
659,0,0,31,44721.0,1
660,0,0,58,53322.0,0
661,0,0,61,45173.0,0
662,0,0,36,48435.0,0
663,0,0,62,68444.0,0
664,0,0,48,58958.0,0
665,0,0,34,49033.0,0
666,0,0,37,40801.0,1
667,0,0,58,50925.0,0
668,0,1,61,35923.0,0
669,0,0,39,31183.0,0
670,0,1,37,43244.0,0
671,0,1,33,26083.0,0
672,0,0,59,58296.0,0
673,0,0,27,47042.0,0
674,0,0,58,54592.0,0
675,0,0,62,54695.0,0
676,0,0,56,58579.0,1
677,0,1,29,26525.0,0
678,0,0,59,41503.0,0
679,0,0,64,60542.0,0
680,0,0,35,40298.0,0
681,0,1,26,31986.0,0
682,0,0,44,54249.0,0
683,0,0,35,49598.0,0
684,0,0,58,47039.0,1
685,0,1,55,25885.0,0
686,0,0,56,42937.0,0
687,0,1,32,32771.0,0
688,0,1,64,24096.0,0
689,0,0,50,65680.0,0
690,0,0,62,46347.0,0
691,0,0,55,50728.0,0
692,0,1,61,34677.0,0
693,0,0,41,54310.0,0
694,0,1,56,36533.0,0
695,0,0,27,47447.0,0
696,0,1,63,46860.0,0
697,0,0,57,32742.0,0
698,0,1,27,52934.0,0
699,0,0,64,33924.0,0
700,0,0,37,41361.0,0
701,0,1,26,44766.0,0
702,0,0,49,59412.0,0
703,0,0,50,70098.0,0
704,0,0,32,52021.0,0
705,0,0,41,43035.0,0
706,0,0,44,52407.0,1
707,0,0,47,61120.0,0
708,0,1,57,17477.0,0
709,0,0,43,39126.0,0
710,0,1,53,36091.0,0
711,0,0,44,56030.0,0
712,0,0,60,44660.0,0
713,0,1,60,32494.0,0
714,0,1,54,30154.0,0
715,0,1,65,37573.0,0
716,0,0,58,66328.0,0
717,0,1,51,46914.0,0
718,0,0,26,48537.0,0
719,0,1,44,34378.0,0
720,0,0,46,56861.0,0
721,0,1,46,36251.0,0
722,0,1,55,35881.0,0
723,0,1,35,40959.0,0
724,0,1,58,46841.0,0
725,0,0,58,51566.0,1
726,0,0,38,42284.0,0
727,0,0,43,62323.0,1
728,0,0,46,62920.0,0
729,0,0,46,44701.0,0
730,0,0,53,57143.0,0
731,0,0,39,58209.0,0
732,0,1,32,25184.0,0
733,0,0,47,40010.0,0
734,0,0,37,35115.0,0
735,0,0,54,66886.0,0
736,0,0,54,63370.0,0
737,0,0,33,60415.0,0
738,0,0,44,52600.0,0
739,0,1,33,41330.0,0
740,0,1,28,55292.0,0
741,0,1,61,47977.0,0
742,0,0,40,45806.0,0
743,0,0,52,50079.0,0
744,0,0,32,48691.0,1
745,0,1,44,18824.0,0
746,0,1,28,37253.0,0
747,0,0,61,38909.0,0
748,0,1,32,29377.0,0
749,0,1,54,22799.0,0
750,0,1,37,37639.0,0
751,0,0,32,55946.0,0
752,0,1,47,38827.0,0
753,0,1,27,39059.0,0
754,0,0,25,38309.0,0
755,0,1,44,32340.0,0
756,0,0,54,55303.0,0
757,0,0,55,61070.0,0
758,0,0,33,34942.0,0
759,0,0,49,44921.0,0
760,0,0,36,48636.0,0
761,0,0,56,53506.0,0
762,0,0,56,51181.0,0
763,0,0,35,49869.0,0
764,0,0,61,47194.0,0
765,0,1,30,22656.0,0
766,0,1,46,43371.0,0
767,0,1,64,44016.0,0
768,0,0,34,29313.0,0
769,0,1,44,39696.0,0
770,0,0,52,39992.0,0
771,0,1,45,43782.0,0
772,0,1,47,28467.0,0
773,0,0,48,32165.0,0
774,0,1,58,30819.0,1
775,0,0,36,44180.0,1
776,0,0,47,60421.0,0
777,0,1,36,37897.0,0
778,0,0,55,49938.0,0
779,0,0,31,46913.0,0
780,0,1,34,55225.0,0
781,0,1,56,38370.0,0
782,0,0,33,59807.0,0
783,0,0,52,41553.0,0
784,0,1,50,20388.0,1
785,0,0,30,33038.0,0
786,0,1,38,34887.0,0
787,0,0,60,39288.0,0
788,0,0,33,47754.0,0
789,0,1,48,35498.0,0
790,0,1,62,35030.0,0
791,0,1,41,32022.0,0
792,0,1,30,35147.0,0
793,0,1,59,33341.0,1
794,0,1,60,40919.0,0
795,0,0,40,68370.0,1
796,0,1,59,44322.0,0
797,0,1,38,41593.0,0
798,0,0,40,37394.0,0
799,0,1,29,43899.0,0
800,0,0,27,46188.0,0
801,0,0,64,48506.0,0
802,0,1,49,42049.0,1
803,0,0,49,73003.0,0
804,0,1,54,24569.0,0
805,0,0,29,46306.0,0
806,0,1,55,27714.0,0
807,0,1,29,44342.0,0
808,0,1,53,33568.0,0
809,0,0,25,53258.0,1
810,0,1,28,35340.0,0
811,0,0,32,53618.0,0
812,0,0,30,56898.0,0
813,0,0,30,37435.0,0
814,0,0,32,55068.0,0
815,0,1,27,36272.0,0
816,0,1,59,31201.0,0
817,0,1,54,50688.0,0
818,0,1,53,42512.0,0
819,0,0,38,34032.0,0
820,0,0,34,72761.0,1
821,0,1,34,45351.0,0
822,0,1,53,30516.0,0
823,0,0,36,61695.0,1
824,0,0,42,37302.0,0
825,0,0,26,29672.0,0
826,0,1,45,42411.0,1
827,0,0,62,51963.0,0
828,0,1,61,50246.0,0
829,0,1,59,44597.0,1
830,0,0,48,56286.0,0
831,0,0,29,45696.0,0
832,0,0,43,62340.0,0
833,0,0,49,46041.0,0
834,0,0,65,49903.0,0
835,0,0,33,51486.0,0
836,0,1,45,42944.0,0
837,0,0,44,58928.0,0
838,0,0,62,45036.0,0
839,0,1,55,21179.0,0
840,0,1,62,23842.0,0
841,0,0,62,56631.0,0
842,0,0,33,28851.0,0
843,0,1,37,41037.0,0
844,0,0,64,42812.0,0
845,0,0,57,43022.0,0
846,0,1,43,54184.0,0
847,0,0,45,51265.0,0
848,0,0,56,54648.0,0
849,0,1,31,49693.0,0
850,0,1,41,53618.0,0
851,0,1,63,60039.0,1
852,0,1,51,40647.0,0
853,0,1,55,43747.0,0
854,0,0,55,29834.0,1
855,0,0,34,60668.0,0
856,0,0,28,46849.0,0
857,0,1,61,41663.0,0
858,0,0,29,33106.0,0
859,0,0,50,54366.0,0
860,0,0,45,42806.0,1
861,0,1,63,40631.0,0
862,0,1,27,43036.0,0
863,0,0,56,36089.0,0
864,0,1,51,49630.0,0
865,0,0,40,37641.0,0
866,0,1,58,53090.0,0
867,0,0,37,60900.0,0
868,0,0,27,56753.0,0
869,0,0,40,53889.0,0
870,0,1,34,36969.0,0
871,0,1,39,29887.0,0
872,0,0,30,61874.0,0
873,0,0,64,54535.0,0
874,0,0,48,48271.0,0
875,0,0,30,41745.0,0
876,0,0,41,51876.0,0
877,0,0,57,44902.0,0
878,0,1,30,38145.0,0
879,0,0,59,50634.0,0
880,0,1,59,44524.0,0
881,0,1,49,42103.0,0
882,0,1,28,35674.0,0
883,0,0,48,41036.0,0
884,0,0,40,57797.0,0
885,0,0,44,42483.0,0
886,0,0,59,32401.0,0
887,0,0,32,57292.0,1
888,0,0,39,44952.0,0
889,0,1,48,34758.0,0
890,0,0,26,43909.0,0
891,0,0,47,51939.0,0
892,0,1,59,23297.0,0
893,0,0,52,54942.0,0
894,0,0,57,53989.0,1
895,0,1,28,29899.0,0
896,0,1,45,34819.0,0
897,0,0,56,54364.0,0
898,0,0,54,59417.0,0
899,0,1,46,46558.0,1
900,0,0,62,61800.0,1
901,0,1,29,53218.0,0
902,0,0,32,62316.0,0
903,0,0,63,57323.0,0
904,0,0,43,52591.0,0
905,0,0,45,58201.0,0
906,0,0,42,71020.0,0
907,0,1,35,25468.0,0
908,0,1,48,48063.0,0
909,0,1,34,41061.0,0
910,0,0,38,56176.0,0
911,0,0,64,64578.0,0
912,0,1,60,44612.0,0
913,0,1,36,40858.0,0
914,0,0,46,34372.0,0
915,0,0,30,76797.0,0
916,0,1,57,52688.0,0
917,0,1,39,44034.0,1
918,0,0,45,49020.0,0
919,0,0,48,49415.0,0
920,0,1,49,45144.0,0
921,0,0,29,50381.0,0
922,0,1,42,46552.0,0
923,0,0,57,38930.0,0
924,0,0,53,54258.0,0
925,0,0,31,45795.0,0
926,0,0,50,74058.0,0
927,0,1,60,43751.0,0
928,0,1,64,45470.0,0
929,0,1,37,29893.0,0
930,0,1,25,38943.0,0
